device_type,service,english_phrase,multiplier,english_phrase_vi
fan|garage_door|lock,turn_on|open|unlock,Turn on <device_name1> open <device_name2> and unlock <device_name3>,1,Bật  <device_name> Mở Placeholder_1 và mở khóa Placeholder_2
fan|light,turn_on|turn_off,Activate <device_name1> and deactivate <device_name2>,1,Kích hoạt <device_name> <device_name> và vô hiệu hóa <device_name>  chỗ_1
fan|light|lock,decrease_speed|toggle|lock,Slow down <device_name1> toggle <device_name2> and lock <device_name3>,1,Chậm lại <device_name> Chuyển đổi <device_name>  chỗ_1 và khóa Placeholder_2
fan|lock,decrease_speed|unlock,Slow down the <device_name1> and unlock the <device_name2>,1,Làm chậm  <device_name> và mở khóa <device_name>  chỗ_1
garage_door,close,Close the <device_name>,1,Đóng <device_name> <device_name>
garage_door,close,Lower the <device_name>,1,Hạ <device_name> <device_name>
garage_door,close,Shut the <device_name>,1,Tắt <device_name>
garage_door,open,Lift the <device_name>,1,Nâng <device_name>
garage_door,open,Open the <device_name>,1,Mở  <device_name>
garage_door,open,Raise the <device_name>,1,Nâng vị trí <device_name>
garage_door,stop,Freeze the <device_name>,1,Đóng băng <device_name>
garage_door,stop,Halt the <device_name>,1,Giảm <device_name>
garage_door,stop,Stop the <device_name>,1,Dừng  <device_name>
garage_door,toggle,Flip the <device_name> state,1,Lật trạng thái <device_name>
garage_door,toggle,Switch the <device_name> state,1,Chuyển trạng thái <device_name>
garage_door,toggle,Toggle the <device_name>,1,Chuyển đổi <device_name> <device_name>
garage_door|blinds,open|open,Open the <device_name1> and lift the <device_name2>,1,Mở  <device_name> và nâng <device_name>  chỗ_1
garage_door|fan,close|turn_off,Close <device_name1> and deactivate <device_name2>,1,Đóng đặt chỗ_0 và vô hiệu hóa <device_name>  chỗ_1
garage_door|light,open|turn_on,Open <device_name1> and activate <device_name2>,1,Mở <device_name> và Kích hoạt Placeholder_1
garage_door|lock,open|unlock,Open <device_name1> and unlock <device_name2>,1,Mở <device_name> và Mở khóa Placeholder_1
light,toggle,Flip the <device_name> on or off,1,Bật hoặc tắt  <device_name>
light,toggle,Switch the <device_name> state,1,Chuyển trạng thái <device_name>
light,toggle,Toggle the <device_name> state,1,Chuyển đổi trạng thái <device_name>
light,turn_off,Deactivate the <device_name>,1,Vô hiệu hóa <device_name> <device_name>
light,turn_off,Please switch off the <device_name>,1,Vui lòng tắt  <device_name>
light,turn_off,Turn off the <device_name>,1,Tắt <device_name>
light,turn_on,Activate the <device_name>,1,Kích hoạt <device_name> 
light,turn_on,Can you turn on the <device_name>?,1,Bạn có thể bật <device_name> không?
light,turn_on,Please switch on the <device_name>,1,Vui lòng bật <device_name>
light|blinds,turn_off|close,Turn off <device_name1> and close <device_name2>,1,Tắt <device_name1> và đóng <device_name2> 
light|blinds|fan,turn_on|close|decrease_speed,Turn on <device_name1> close <device_name2> and slow down <device_name3>,1,Bật <device_name1> đóng <device_name2> và làm chậm <device_name3>
light|blinds|garage_door,turn_on|open|close,Turn on <device_name1> open <device_name2> and close <device_name3>,1,Bật <device_name1> mở <device_name2> và Đóng <device_name3>
light|blinds|lock,turn_off|close|lock,Turn off the <device_name1> close the <device_name2> and lock the <device_name3>,1,Tắt <device_name1> Đóng <device_name2> và khóa <device_name3>
light|blinds|lock,turn_off|close|unlock,Turn off <device_name1> close <device_name2> and unlock <device_name3>,1,Tắt <device_name1> đóng <device_name2> và mở khóa <device_name3>
light|fan,toggle|decrease_speed,Toggle <device_name1> and slow down <device_name2>,1,Chuyển đổi <device_name1> và làm chậm <device_name2>
light|fan,toggle|increase_speed,Toggle <device_name1> and speed up <device_name2>,1,Chuyển đổi <device_name1> và tăng tốc <device_name2>
light|fan,turn_off|turn_on,Turn off the <device_name1> and turn on <device_name2>,1,Tắt <device_name1> và bật <device_name2>
light|fan,turn_on|toggle,Switch on <device_name1> and toggle <device_name2>,1,Bật <device_name1> và chuyển đổi <device_name2>
light|fan,turn_on|turn_off,Turn on the <device_name1> and turn off the <device_name2>,1,Bật <device_name1> và tắt <device_name2> 
light|fan,turn_on|turn_on,Turn on both the <device_name1> and <device_name2>,1,Bật cả hai <device_name1> và <device_name2>
light|fan,turn_on|turn_on,Turn on the <device_name1> and <device_name2>,1,Bật <device_name1> và <device_name2>
light|fan|blinds,toggle|increase_speed|open,Toggle <device_name1> speed up <device_name2> and open <device_name3>,1,Chuyển đổi <device_name1> tăng tốc <device_name2> và mở <device_name3>
light|fan|blinds,turn_off|decrease_speed|close,Turn off <device_name1> slow down <device_name2> and close <device_name3>,1,Tắt <device_name1> giảm tốc độ <device_name2> và đóng <device_name3>
light|fan|blinds,turn_off|turn_off|close,Turn off <device_name1> and <device_name2> and close <device_name3>,1,Tắt <device_name1> và <device_name2> và đóng <device_name3>
light|fan|garage_door,toggle|decrease_speed|open,Toggle <device_name1> slow down <device_name2> and open <device_name3>,1,Chuyển đổi <device_name1> làm chậm <device_name2> và mở <device_name3>
light|fan|garage_door,turn_off|turn_on|close,Turn off <device_name1> turn on <device_name2> and close <device_name3>,1,Tắt <device_name1> bật <device_name> và đóng <device_name3>
light|fan|garage_door,turn_on|toggle|open,Switch on the <device_name1> flip the <device_name2> and lift the <device_name3>,1,Bật <device_name1> đổi chiều <device_name2> và nâng <device_name3>
light|fan|garage_door,turn_on|turn_on|open,Turn on <device_name1> and <device_name2> and open <device_name3>,1,Bật   <device_name> 0 trong   <device_name> _1 và người  <device_name> mở 2
light|fan|lock,toggle|toggle|lock,Toggle both <device_name1> and <device_name2> and lock <device_name3>,1,Chuyển đổi cả <device_name> và Placeholder_1 và khóa Placeholder_2
light|fan|lock,turn_off|turn_off|unlock,Turn off <device_name1> and <device_name2> and unlock <device_name3>,1,Tắt đặt <device_name> <device_name> và   chỗ_1 và mở khóa Placeholder_2
light|fan|lock,turn_on|increase_speed|lock,Turn on <device_name1> speed up <device_name2> and lock <device_name3>,1,Bật  <device_name> lên tốc độ đặt <device_name>
light|fan|lock,turn_on|turn_on|unlock,Turn on both <device_name1> and <device_name2> and unlock <device_name3>,1,Bật cả hai <device_name> <device_name> và người  chỗ_1 và mở khóa Placeholder_2
light|garage_door,toggle|stop,Toggle the <device_name1> and stop the <device_name2>,1,Chuyển đổi  <device_name> và dừng <device_name>  chỗ_1
light|garage_door,turn_on|open,Switch on <device_name1> and open <device_name2>,1,Bật  <device_name> và Mở Placeholder_1
light|garage_door,turn_on|open,Switch on the <device_name1> and open the <device_name2>,1,Bật  <device_name> và mở loberholder_1
light|garage_door|lock,turn_on|open|lock,Turn on <device_name1> open <device_name2> and lock <device_name3>,1,Bật  <device_name> Mở Placeholder_1 và khóa Placeholder_2
light|light,toggle|toggle,Toggle both <device_name1> and <device_name2>,1,Chuyển đổi cả <device_name> và Placeholder_1
light|light,turn_on|turn_off,Turn on <device_name1> and turn off <device_name2>,1,Bật  <device_name> và tắt   chỗ_1
light|light|fan,toggle|toggle|decrease_speed,Toggle both <device_name1> and <device_name2> and slow down <device_name3>,1,Chuyển đổi cả <device_name> và Placeholder_1 và làm chậm Placeholder_2
light|light|fan,toggle|turn_on|increase_speed,Toggle <device_name1> turn on <device_name2> and speed up <device_name3>,1,Chuyển đổi <device_name> Bật   chỗ_1 và tăng tốc Placeholder_2
light|light|fan,turn_on|turn_off|toggle,Turn on <device_name1> turn off <device_name2> and toggle <device_name3>,1,Bật  <device_name> Tắt   chỗ_1 và chuyển đổi <device_name>  chỗ_2
light|lock,turn_on|lock,Turn on <device_name1> and lock <device_name2>,1,Bật  <device_name> và khóa  chỗ_1
lock,lock,Engage the <device_name> lock,1,Tham gia khóa <device_name>
lock,lock,Lock the <device_name>,1,Khóa <device_name>
lock,lock,Secure the <device_name>,1,Bảo vệ <device_name> <device_name>
lock,unlock,Disengage the <device_name> lock,1,Giải phóng khóa <device_name>
lock,unlock,Unlock the <device_name>,1,Mở khóa <device_name> <device_name>
lock,unlock,Unsecure the <device_name>,1,Không an toàn cho người <device_name>
lock|blinds,lock|close,Lock the <device_name1> and lower the <device_name2>,1,Khóa  <device_name> và hạ thấp <device_name>  chỗ_1
lock|garage_door,lock|close,Secure the <device_name1> and shut the <device_name2>,1,Bảo vệ người <device_name> và đóng cửa   chỗ_1
light,turn_on,Make sure the <device_name> is on,1,Đảm bảo rằng lopholder_0 đang bật
fan,turn_on,Make sure the <device_name> is on,1,Đảm bảo rằng lopholder_0 đang bật
lock|lock|garage_door,lock|lock|close,Make sure <device_name1> and <device_name2> are locked and the <device_name3> is closed,1,Đảm bảo đặt <device_name>
light,turn_off,Ensure the <device_name> is off,1,Đảm bảo <device_name> bị tắt
fan,turn_off,Ensure the <device_name> is off,1,Đảm bảo đặt chỗ_0 bị tắt
garage_door,close,Make certain the <device_name> is closed,1,Chắc chắn rằng lopholder_0 đã đóng
blinds,open,See to it that the <device_name> are open,1,Xem với nó rằng  <device_name> đang mở
lock,lock,Ensure <device_name> is secure,1,Đảm bảo <device_name> an toàn
light,toggle,Can you flip the <device_name>,1,Bạn có thể lật người <device_name> không
fan,increase_speed,Step up the speed of the <device_name>,1,Bước lên tốc độ của người <device_name>
garage_door,open,Make certain the <device_name> is open,1,Hãy chắc chắn rằng loberholder_0 đang mở
blinds,close,See to it that the <device_name> are closed,1,Xem nó rằng người <device_name> đã đóng
lock,unlock,Make sure <device_name> is unlocked,1,Đảm bảo rằng lopholder_0 được mở khóa
fan,decrease_speed,Slow down the <device_name>,1,Làm chậm người <device_name>
light,turn_on,Confirm that the <device_name> is on,1,Xác nhận rằng người <device_name> đang bật
garage_door,stop,Stop the <device_name> right now,1,Dừng  <device_name> ngay bây giờ
light,turn_off,Confirm that the <device_name> is off,1,Xác nhận rằng người <device_name> đã tắt
garage_door,toggle,Toggle the <device_name> position,1,Chuyển đổi vị trí của <device_name>
blinds,toggle,Switch the state of the <device_name>,1,Chuyển trạng thái của <device_name> <device_name>
lock,lock,Lock down the <device_name>,1,Khóa  <device_name>
fan,turn_on,Make certain the <device_name> is running,1,Chắc chắn rằng loberholder_0 đang chạy
switch,turn_on,Can you turn on <device_name>?,1,Bạn có thể bật <device_name> không?
switch,turn_off,Please switch off <device_name>.,1,Vui lòng tắt  <device_name>.
switch,toggle,Could you toggle <device_name>?,1,Bạn có thể chuyển đổi <device_name> đặt chỗ_0 không?
switch,turn_on,"I need <device_name> on,1
switch,turn_off,Turn off <device_name>",1,"Tôi cần đặt chỗ_0 trên, 1
Chuyển đổi, Turn_off, Tắt <device_name>"
switch,toggle,Can <device_name> be toggled?,1,<device_name> có thể được bật không?
switch,turn_on,Activate <device_name>.,1,Kích hoạt <device_name> <device_name>.
switch,turn_off,Deactivate <device_name>.,1,Vô hiệu hóa <device_name> <device_name>.
switch,toggle,Is it possible to toggle the <device_name>?,1,Có thể chuyển đổi  <device_name> không?
switch,turn_on,Let's have <device_name> on.,1,Hãy có  <device_name> trên.
switch,turn_off,We don't need <device_name> on anymore.,1,Chúng tôi không cần <device_name> trên nữa.
switch,toggle,Toggle <device_name> for me.,1,Chuyển đổi <device_name> đặt chỗ_0 cho tôi.
switch,turn_on,"Switch on <device_name>,1
switch,turn_off,I'd like <device_name> off now.""",1,"Bật  <device_name>,1
Chuyển đổi, Turn_off, tôi muốn đặt <device_name> ngay bây giờ. """
switch,toggle,Can you change the state of <device_name>?,1,Bạn có thể thay đổi trạng thái của <device_name> không?
switch,turn_on,Please turn on <device_name>.,1,Vui lòng bật <device_name>.
switch,turn_off,"Shut off <device_name>,1
switch,toggle,A quick toggle of <device_name>",1,"Tắt  <device_name>,1
Chuyển đổi, chuyển đổi, chuyển đổi nhanh của <device_name>"
switch,turn_on,<device_name> needs to be on.,1,<device_name> cần phải được bật.
switch,turn_off,Time to turn <device_name> off.,1,Thời gian để tắt  <device_name>.
media_player,volume_up,Increase the volume on <device_name>.,1,Tăng khối lượng trên <device_name>.
media_player,volume_up,Turn up <device_name> a bit.,1,Bật  <device_name> một chút.
media_player,volume_up,"Louder on <device_name>,1
media_player,volume_down,Can you lower <device_name>'s volume?""",1,"Louder trên <device_name>,1
Media_Player, Volume_down, bạn có thể giảm âm lượng của <device_name> không? """
media_player,volume_down,Decrease the volume on <device_name>.,1,Giảm âm lượng trên <device_name>.
media_player,volume_down,"Turn down <device_name>,1
media_player,volume_mute,Mute <device_name>",1,"Turn Down <device_name>,1
Media_Player, Volume_Mute, Mute <device_name>"
media_player,volume_mute,Silence <device_name> for a moment.,1,Im lặng <device_name> trong giây lát.
media_player,volume_mute,Can you mute <device_name>?,1,Bạn có thể tắt tiếng <device_name> không?
media_player,media_play,Start playing on <device_name>.,1,Bắt đầu chơi trên <device_name>.
media_player,media_play,Can you play <device_name>?,1,Bạn có thể chơi <device_name> không?
media_player,media_play,"Play the media on <device_name>,1
media_player,media_pause,Pause <device_name>.""",1,"Chơi phương tiện trên <device_name>,1
Media_Player, Media_Pause, PAUSE <device_name>. """
media_player,media_pause,Can you pause <device_name>?,1,Bạn có thể tạm dừng <device_name> không?
media_player,media_pause,"Hold the playback on <device_name>,1
media_player,media_stop,Stop <device_name> completely.""",1," phần phát lại trên <device_name>,1
Media_Player, Media_Stop, Stop <device_name> hoàn toàn. """
media_player,media_stop,Can you stop playback on <device_name>?,1,Bạn có thể ngừng phát lại trên <device_name> không?
media_player,media_stop,"End the session on <device_name>,1
media_player,media_next_track,Next track on <device_name>",1,"Kết thúc phiên trên <device_name>,1
Media_Player, Media_Next_Track,  theo dõi tiếp theo trên <device_name>"
media_player,media_next_track,Advance <device_name> to the next song.,1,<device_name> cho bài hát tiếp theo.
media_player,media_next_track,Skip this track on <device_name>.,1,Bỏ qua bản nhạc này trên <device_name>.
media_player,media_previous_track,"Previous track on <device_name>,1
media_player,media_previous_track,Rewind to the previous song on <device_name>.""",1,"Bản nhạc trước trên <device_name>,1
Media_Player, Media_Previous_Track, tua lại bài hát trước trên <device_name>. """
media_player,media_previous_track,Can we go back a track on <device_name>?,1,Chúng ta có thể quay lại một bản nhạc trên <device_name> không?
climate,set_temperature,Set the temperature to <temp_f> degrees.,8,Đặt nhiệt độ thành  <device_name> độ.
climate,set_temperature,Can you change the temperature to <temp_c> Celsius?,8,"Bạn có thể thay đổi nhiệt độ thành <device_name> C, không?"
climate,set_temperature,"I'd like the room at <temp_f> degrees Fahrenheit,8
climate,set_temperature,Please adjust the temperature to <temp_f> degrees.""",8,"Tôi muốn căn phòng ở <device_name> độ Fahrenheit, 8
khí hậu, set_temate, vui lòng điều chỉnh nhiệt độ thành  <device_name> độ. """
climate,set_temperature,Can you lower the temperature to <temp_c>?,8,Bạn có thể giảm nhiệt độ xuống <device_name> <device_name> không?
climate,set_temperature,Raise the temperature to <temp_f> degrees,8,Nâng nhiệt độ lên <device_name> <device_name> độ
climate,set_humidity,Increase the humidity to <humidity>.,8,Tăng độ ẩm để <device_name>.
climate,set_humidity,Set the humidity level to <humidity> percent.,8,Đặt mức độ ẩm thành  <device_name> phần trăm.
climate,set_humidity,Can you adjust the humidity to <humidity> percent?,8,Bạn có thể điều chỉnh độ ẩm cho người <device_name> phần trăm không?
climate,set_fan_mode,Set the climate fan to <fan_mode> speed.,8,Đặt quạt khí hậu thành <device_name> Tốc độ.
climate,set_fan_mode,Please put the climate fan on <fan_mode>.,8,Vui lòng đặt quạt khí hậu trên đặt chỗ_0.
climate,set_fan_mode,Change the air conditioning fan to <fan_mode>.,8,Thay đổi quạt điều hòa không khí thành người <device_name>.
climate,set_hvac_mode,Switch the system to <hvac_mode> mode.,8,Chuyển hệ thống sang chế độ <device_name>.
climate,set_hvac_mode,Can we set the HVAC to <hvac_mode>?,8,Chúng ta có thể đặt HVAC thành <device_name> không?
climate,set_hvac_mode,Change the HVAC to <hvac_mode>.,8,Thay đổi HVAC thành <device_name>.
light,turn_on,Set the brightness of <device_name> to <brightness>%.,8,Đặt độ sáng của <device_name> thành Placeholder_1%.
light,turn_on,Dim <device_name> to <brightness> percent brightness.,8,Dim <device_name> đến Placeholder_1 phần trăm độ sáng.
light,turn_on,Brighten <device_name> to <brightness>.,8,Làm sáng <device_name> <device_name> cho người  chỗ_1.
light,turn_on,Adjust <device_name> brightness to <brightness>.,8,Điều chỉnh độ sáng của <device_name> thành Placeholder_1.
light,turn_on,Increase <device_name>'s brightness to <brightness>.,8,Tăng độ sáng của <device_name> cho Placeholder_1.
light,turn_on,Lower the brightness of <device_name> to <brightness>.,8,Hạ mức độ sáng của <device_name> <device_name> đến <device_name>  chỗ_1.
light,turn_on,Can you set <device_name>'s brightness level to <brightness> percent?,8,Bạn có thể đặt mức độ sáng của <device_name> thành Placeholder_1 phần trăm không?
light,turn_on,I'd like <device_name> at <brightness> percent brightness,8,Tôi muốn đặt <device_name>
light,turn_on,Can you make <device_name> <color>?,8,Bạn có thể làm cho <device_name> Placeholder_1 không?
light,turn_on,Change the color of <device_name> to <color>.,8,Thay đổi màu của <device_name> thành Placeholder_1.
light,turn_on,Change <device_name> to a <color> hue.,8,Thay đổi  <device_name> thành một người  chỗ_1 Huế.
light,turn_on,Set <device_name> to be <color>.,8,Đặt <device_name> thành người  chỗ_1.
light,turn_on,"I want <device_name> to be <color>"",8
light,turn_on,Can you make <device_name> shine in <color>?""",8,"Tôi muốn loberholder_0 là người  chỗ_1 "", 8
Ánh sáng, Turn_on, bạn có thể làm cho <device_name> Shine trong Placeholder_1 không? """
light,turn_on,Turn <device_name> to a <color> shade.,8,Biến  <device_name> thành một người  chỗ_1 bóng râm.
light,turn_on,Turn <device_name> <color>.,8,Turn <device_name> Placeholder_1.
light,turn_on,I want <device_name> at a <color> setting.,8,Tôi muốn đặt chỗ_0 tại cài đặt logholder_1.
light,turn_on,Set <device_name> to a <color> color.,8,Đặt <device_name> thành Màu Placeholder_1.
light,turn_on,Please set <device_name> to a <color> color.,8,Vui lòng đặt <device_name> thành Màu Placeholder_1.
light,turn_on,Make <device_name> glow <color>.,8,Làm cho loberholder_0 phát sáng  chỗ_1.
light,turn_on,Could you turn <device_name> to <color>?,8,Bạn có thể chuyển  <device_name> thành người  chỗ_1 không?
light,turn_on,Please change <device_name> to <color>.,8,Vui lòng thay đổi  <device_name> thành người  chỗ_1.
light,turn_on,Adjust <device_name> to <color> color.,8,Điều chỉnh <device_name> sang Placeholder_1 màu.
light,turn_on,Switch <device_name> color to <color>.,8,Chuyển vị trí của <device_name> sang Placeholder_1.
light,turn_on,Can <device_name> be <color> now?,8,Bây giờ <device_name> có thể là người  chỗ_1 không?
light,turn_on,Let's have <device_name> in <color>.,8,Hãy có  <device_name> trong Placeholder_1.
light,turn_on,I'd like <device_name> to change to <color>.,8,Tôi muốn <device_name> thay đổi thành Placeholder_1.
light,turn_on,Can <device_name> display a <color> light?,8,<device_name> có thể hiển thị ánh sáng Placeholder_1 không?
light,turn_on,Set <device_name> color to <color>,8,Đặt màu <device_name> thành Placeholder_1
vacuum,start,Start cleaning with <device_name>.,2,Bắt đầu làm sạch với <device_name>.
vacuum,start,Begin vacuuming with <device_name>.,2,Bắt đầu hút bụi với <device_name>.
vacuum,start,Activate <device_name> to clean.,2,Kích hoạt <device_name> để làm sạch.
vacuum,start,Could you please start <device_name>?,2,Bạn có thể vui lòng bắt đầu <device_name>?
vacuum,start,"Hey, get <device_name> going, would you?",2,"Này, đi <device_name>, bạn sẽ?"
vacuum,stop,Stop <device_name>'s operation.,2,Stop <device_name> của hoạt động.
vacuum,stop,Please halt <device_name>'s current task,2,Vui lòng tạm dừng nhiệm vụ hiện tại của <device_name>
vacuum,stop,Please stop <device_name>,2,Vui lòng dừng <device_name>
vacuum,stop,Can you make <device_name> stop?,2,Bạn có thể làm cho <device_name> dừng không?
vacuum,stop,Stop <device_name> from cleaning.,2,Stop <device_name> khỏi làm sạch.
vacuum,pause,Freeze <device_name>'s current task.,2,Đóng băng <device_name> của nhiệm vụ hiện tại.
vacuum,pause,Would you mind pausing <device_name> for a moment?,2,Bạn có phiền khi tạm dừng <device_name> <device_name> trong giây lát không?
vacuum,pause,"Hey, can we put <device_name> on pause, please?",2,"Này, chúng ta có thể đặt <device_name> đặt chỗ_0 vào tạm dừng không?"
vacuum,pause,Pause the <device_name> cleaning.,2,Tạm dừng việc làm sạch <device_name> để .
vacuum,pause,Pause <device_name>,2,Tạm dừng <device_name>
vacuum,return_to_base,Send <device_name> back to its base.,2,Gửi <device_name> trở lại căn cứ của nó.
vacuum,return_to_base,"Please send <device_name> back to its base, if you would.",2,"Vui lòng gửi <device_name> trở lại căn cứ của nó, nếu bạn muốn."
vacuum,return_to_base,"Time to head home, <device_name>. Can you call it back?",2,"Thời gian để về nhà, <device_name>. Bạn có thể gọi nó lại không?"
vacuum,return_to_base,Direct <device_name> to dock.,2,Placeholder trực tiếp_0 đến bến.
vacuum,return_to_base,Return <device_name> to its charging station.,2,Trả lại <device_name> ở chỗ_0 cho trạm sạc của nó.
todo,add_item,Please add <todo> to my <device_name>.,8,Vui lòng thêm <device_name> vào   <device_name> của tôi_1.
todo,add_item,Can you add <todo> to the <device_name>?,8,Bạn có thể thêm <device_name> vào Placeholder_1 không?
todo,add_item,I need <todo> added to my <device_name>.,8,Tôi cần <device_name> được thêm vào   <device_name> của tôi_1.
todo,add_item,Go ahead and add <todo> to the <device_name>.,8,Hãy tiếp tục và thêm <device_name> vào   chỗ_1.
todo,add_item,Could you please input <todo> into my <device_name>?,8,Bạn có thể vui lòng nhập  <device_name> vào   <device_name> của tôi_1 không?
todo,add_item,Kindly insert <todo> onto the <device_name>.,8,Vui lòng chèn   <device_name> _0 vào   <device_name> _1.
todo,add_item,May I request that <todo> be included in the <device_name>?,8,Tôi có thể yêu cầu đặt <device_name> đó_0 được bao gồm trong   chỗ_1 không?
todo,add_item,It would be much appreciated if <todo> could be put on the <device_name>.,8,Nó sẽ được đánh giá cao nếu <device_name> có thể được đặt trên   chỗ_1.
todo,add_item,Shall we append <todo> to my <device_name>?,8,Chúng ta sẽ nối  <device_name> cho người  <device_name> của tôi_1?
todo,add_item,"Let's add <todo> to the <device_name>""",8,"Hãy thêm <device_name> vào Placeholder_1 """
todo,add_item,Could you place <todo> onto my <device_name>?,8,Bạn có thể đặt <device_name> đặt chỗ_0 lên vị trí của tôi_1 không?
todo,add_item,Will you be so kind as to incorporate <todo> into the <device_name>?,8,Bạn sẽ tử tế đến mức kết hợp <device_name> vào Placeholder_1?
todo,add_item,Is it possible to include <todo> in the <device_name>?,8,Có thể bao gồm <device_name> trong Placeholder_1 không?
todo,add_item,Could we add <todo> to my <device_name>?,8,Chúng ta có thể thêm <device_name> đặt chỗ_0 vào   <device_name> của tôi_1 không?
timer,start,Please set my <device_name> for <duration>.,8,Vui lòng đặt   <device_name> của tôi_0 cho Placeholder_1.
timer,start,Turn on the <device_name> timer for <duration>.,8,Bật bộ đếm thời gian của <device_name> cho Placeholder_1.
timer,start,Set the <device_name> for <duration>.,8,Đặt  <device_name> cho   chỗ_1.
timer,start,Start the <device_name> timer for <duration>.,8,Bắt đầu bộ đếm thời gian đặt chỗ_0 cho   chỗ_1.
timer,start,Set a <duration> <device_name>.,8,Đặt  <device_name> Placeholder_1.
timer,cancel,Cancel the <device_name> timer.,8,Hủy đặt bộ đếm thời gian đặt chỗ_0.
timer,cancel,Please stop my <device_name>.,8,Vui lòng dừng   <device_name> của tôi_0.
timer,cancel,Turn off the <device_name>.,8,Tắt  <device_name>.
timer,cancel,Please shut off the <device_name> timer.,8,Vui lòng tắt bộ đếm thời gian của <device_name>.
timer,cancel,The <device_name> is no longer needed.,8,Người <device_name> không còn cần thiết.
